subject;predicate;object
Byzantine Empire;ruled;Eastern and Southern Europe
Emperor Constantine I;established;Constantinople
Emperor Constantine I;embraced;Christianity
Emperor Justinian I;belonged to;Justinian Dynasty
Emperor Justinian I;expanded;territory
Emperor Justinian I;implemented;reforms
Emperor Justinian I;implemented;Justinian Code
Byzantine Empire;split from;Catholic Church
Byzantine Empire;engaged in;wars against Muslims
Constantinople;fell to;Ottoman Empire
Constantinople;known as;Istanbul
Constantinople;was;center of art, culture, and power
Battle of Manzikert;resulted in;defeat of Byzantine Empire
Battle of Manzikert;resulted in;capture of Emperor Romanus IV Diogenes
Battle of Manzikert;took place near;Manzikert
Alp Arslan;treated with;kindness Romanus
Romanus;faced;betrayal
Romanus;faced;gruesome fate
defeat at Manzikert;marked beginning of;decline of Byzantine Empire
decline of Byzantine Empire;led to;losses of territory to Seljuks
defeat at Manzikert;considered;turning point in Byzantine history
defeat at Manzikert;contributed to;empire's eventual downfall
defeat at Manzikert;impacted;geopolitical landscape of the region
defeat at Manzikert;influencing;later Crusades
Macedonian Dynasty;brought;recovery and expansion to the Byzantine Empire
Macedonian Dynasty;led to;Byzantine Renaissance
Macedonian Dynasty;oversaw;empire's expansion
Macedonian Dynasty;conquest of;Crete
Macedonian Dynasty;conquest of;Cyprus
Macedonian Dynasty;conquest of;Syria
Macedonian Dynasty;played a significant role in;Christianization of the Bulgarians
Macedonian Dynasty;played a significant role in;Christianization of the Serbs
Macedonian Dynasty;played a significant role in;Christianization of the Rus'
theme system;caused;instability
theme system;weakened;imperial authority
Byzantine Empire;centered on;Constantinople
Byzantine Empire;reached its height under;Macedonian emperors
Byzantine Empire;achievements include;codification of Roman law under Justinian
Byzantine Empire;achievements include;construction of Hagia Sophia
Byzantine Empire;culture influenced by;Hellenization
Byzantine Empire;played a key role in passing on classical culture to;Renaissance Italy and early modern Europe
Roman Empire;continued as;Byzantine Empire
Roman Empire;codification of law under;Justinian
Constantinople;was the center of;Byzantine Empire
Byzantines;thrived from;330 C.E.
Constantine I;established;Constantinople
Byzantines;known for;religious buildings and art
Byzantines;masterpiece was;Justinian's Hagia Sophia
Turks;conquered;Istanbul in 1453
Turks;settled in;Anatolia
Turks;date back to;2,000 B.C.E.
Turks;flourished with;monumental structures and cultural figures like Rumi
Seljuk State;part of;Great Seljuk Empire
Seljuk State;flourished with;monumental structures and cultural figures like Rumi
Seljuk Empire;collapsed leading to rise of;Ottoman Empire
Ottoman Empire;captured;Constantinople in 1453
Ottoman Empire;ended;Byzantine reign
Manuel Komnenos;played a role in;fall of the Byzantine Empire
Komnenian restoration;was;a failure
Byzantine Empire;struggled in;defending its territories
Byzantine Empire;struggled in;Anatolia
Byzantine Empire;struggled against;Seljuk Turks
Komnenian emperors;debated on;effectiveness of strategies
Byzantine Empire;importance of;controlling Asia Minor
