,context,triplets
0,"In biology, an adaptation, also called an adaptive trait, is a trait with a current functional role in the life of an organism that is maintained and evolved by means of natural selection.",<triplet> adaptation <subj> natural selection <obj> evolved by means of
1,Every atom is composed of a nucleus and one or more electrons bound to the nucleus.,<triplet> atom <subj> electron <obj> is composed of
2,"In general, mitosis (division of the nucleus) is often accompanied or followed by cytokinesis, which divides the cytoplasm, organelles and cell membrane into two new cells containing roughly equal shares of these cellular components.",<triplet> mitosis <subj> cytokinesis <obj> is followed by
3,Molecules as components of matter are common in organic substances (and therefore biochemistry).,<triplet> molecule <subj> matter <obj> components of
4,"Monocotyledons (/ˌmɒnəˌkɒtəˈliːdən, -ˌkɒtˈliː-/), more properly referred to as monocots, (Lilianae sensu Chase & Reveal) are flowering plants (angiosperms) whose seeds typically contain only one embryonic leaf, or cotyledon.",<triplet> monocot <subj> cotyledon <obj> seeds contain only one
5,"Examples of monosaccharides include glucose (dextrose), fructose (levulose) and galactose.",<triplet> monosaccharide <subj> fructose <obj> example
6,"The cougar (Puma concolor), also commonly known as the mountain lion, puma, panther, or catamount, is a large felid of the subfamily Felinae native to the Americas.",<triplet> cougar <subj> mountain lion <obj> known as
7,"A successful generalist predator, the cougar will eat any animal it can catch, from insects to large ungulates (over 500 kg).",<triplet> cougar <subj> insect <obj> eat
8,"In Pacific Rim National Park Reserve, scat samples showed raccoons to make up 28% of the cougar's diet, harbor seals and blacktail deer 24% each, North American river otters 10%, California sea lion 7%, and American mink 4%; the remaining 3% were unidentified.
",<triplet> raccoon <subj> cougar <obj> make up diet
9,"Some common mouse care products are:


In nature, mice are largely herbivores, consuming any kind of fruit or grain from plants.",<triplet> mouse <subj> fruit <obj> consume
10,Nonlethal mutations accumulate within the gene pool and increase the amount of genetic variation.,<triplet> mutation <subj> genetic variation <obj> increase
11,"Mutations that promotes traits that are desirable, are also called beneficial.",<triplet> mutation <subj> traits <obj> promotes
