",summary_method,summary_percentage,ranking,ranking_how,ranking_perc_threshold,entity,relation,meteor_pr,meteor_re,meteor_f1,rouge-2_pr,rouge-2_re,rouge-2_f1"
"15,None,,page\_rank,all,15.0,dbpedia\_spotlight,corenlp,37.0,21.2,26.2,1.8,23.6,3.0"
"116,None,,page\_rank,all,15.0,dbpedia\_spotlight,rebel\_hf,35.3,20.4,25.4,2.1,23.7,3.8"
"129,None,,page\_rank,all,15.0,dbpedia\_spotlight,rebel\_ft,33.0,21.4,25.4,3.6,21.6,6.0"
"29,None,,page\_rank,all,15.0,nps,rebel\_ft,31.8,21.3,25.1,3.8,19.9,6.1"
"40,None,,page\_rank,all,15.0,nps,rebel\_hf,33.3,19.8,24.2,2.2,21.9,3.9"
"44,None,,page\_rank,all,15.0,nps,corenlp,33.5,15.3,20.5,0.8,22.8,1.6"
"60,None,,page\_rank,all,30.0,dbpedia\_spotlight,rebel\_hf,39.0,18.9,25.1,1.3,29.2,2.4"
"113,None,,page\_rank,all,30.0,dbpedia\_spotlight,rebel\_ft,36.9,19.9,25.5,2.2,27.5,4.0"
"36,None,,page\_rank,all,30.0,nps,rebel\_ft,36.9,19.8,25.5,2.3,27.8,4.1"
"89,None,,page\_rank,all,30.0,nps,rebel\_hf,38.3,18.2,24.2,1.2,29.6,2.3"
"21,None,,word2vec,all,15.0,dbpedia\_spotlight,rebel\_ft,31.2,18.5,22.7,3.0,18.6,5.1"
"106,None,,word2vec,all,15.0,dbpedia\_spotlight,corenlp,36.3,18.4,23.9,1.2,23.9,2.1"
"121,None,,word2vec,all,15.0,dbpedia\_spotlight,rebel\_hf,34.2,17.6,22.8,1.8,22.7,3.3"
"87,None,,word2vec,all,15.0,nps,rebel\_hf,32.6,17.4,22.2,1.9,20.7,3.3"
"130,None,,word2vec,all,15.0,nps,rebel\_ft,29.9,19.2,22.9,3.5,17.3,5.5"
"134,None,,word2vec,all,15.0,nps,corenlp,32.8,13.0,18.3,0.6,19.9,1.2"
"7,None,,word2vec,all,30.0,dbpedia\_spotlight,rebel\_ft,35.9,18.1,23.6,2.2,25.4,3.9"
"17,None,,word2vec,all,30.0,dbpedia\_spotlight,rebel\_hf,38.1,17.4,23.5,1.2,27.8,2.3"
"58,None,,word2vec,all,30.0,dbpedia\_spotlight,corenlp,43.7,18.9,25.7,1.0,32.9,1.8"
"26,None,,word2vec,all,30.0,nps,rebel\_hf,37.6,17.0,23.0,1.2,28.4,2.2"
"76,None,,word2vec,all,30.0,nps,rebel\_ft,35.7,18.5,23.9,2.2,25.4,4.0"
"81,None,,word2vec,all,30.0,nps,corenlp,44.6,14.3,21.3,0.4,35.9,0.9"
"16,chat-gpt,15,None,,None,dbpedia\_spotlight,rebel\_hf,34.6,23.1,27.0,3.2,23.6,5.4"
"43,chat-gpt,15,None,,None,dbpedia\_spotlight,rebel\_ft,33.0,24.4,27.5,4.9,21.9,7.6"
"108,chat-gpt,15,None,,None,dbpedia\_spotlight,corenlp,34.4,26.0,29.1,2.8,20.1,4.4"
"9,chat-gpt,15,None,,None,nps,rebel\_hf,30.7,19.8,23.4,2.9,18.1,4.9"
"32,chat-gpt,15,None,,None,nps,rebel\_ft,29.2,21.1,24.0,5.4,16.8,7.8"
"135,chat-gpt,15,None,,None,nps,corenlp,28.3,16.2,20.3,1.4,15.3,2.5"
"12,chat-gpt,15,page\_rank,all,15.0,dbpedia\_spotlight,rebel\_ft,22.5,31.1,25.4,12.7,10.8,10.5"
"13,chat-gpt,15,page\_rank,all,15.0,dbpedia\_spotlight,corenlp,22.4,30.9,24.9,4.9,9.5,4.8"
"37,chat-gpt,15,page\_rank,all,15.0,dbpedia\_spotlight,rebel\_hf,25.4,28.6,25.8,8.9,12.6,9.5"
"83,chat-gpt,15,page\_rank,all,15.0,nps,rebel\_hf,16.5,25.0,18.7,9.0,6.6,6.4"
"111,chat-gpt,15,page\_rank,all,15.0,nps,rebel\_ft,12.9,21.2,14.9,9.3,4.4,5.1"
"115,chat-gpt,15,page\_rank,all,15.0,nps,corenlp,14.8,16.7,14.7,3.5,4.4,3.3"
"49,chat-gpt,15,page\_rank,all,30.0,dbpedia\_spotlight,rebel\_hf,29.9,26.1,26.8,6.3,16.7,8.6"
"64,chat-gpt,15,page\_rank,all,30.0,dbpedia\_spotlight,rebel\_ft,26.3,26.2,25.4,8.6,13.9,9.8"
"128,chat-gpt,15,page\_rank,all,30.0,dbpedia\_spotlight,corenlp,29.0,27.6,27.6,4.5,13.1,5.4"
"25,chat-gpt,15,page\_rank,all,30.0,nps,corenlp,18.6,17.3,16.9,2.6,6.5,2.9"
"71,chat-gpt,15,page\_rank,all,30.0,nps,rebel\_hf,20.4,23.3,21.0,5.7,9.9,6.6"
"109,chat-gpt,15,page\_rank,all,30.0,nps,rebel\_ft,17.7,21.8,18.9,7.1,7.3,6.6"
"38,chat-gpt,15,word2vec,all,15.0,dbpedia\_spotlight,rebel\_ft,21.0,28.7,23.6,12.2,10.1,9.7"
"82,chat-gpt,15,word2vec,all,15.0,dbpedia\_spotlight,corenlp,24.3,27.8,25.0,3.6,10.8,4.0"
"136,chat-gpt,15,word2vec,all,15.0,dbpedia\_spotlight,rebel\_hf,26.3,28.8,26.8,9.4,13.5,10.3"
"56,chat-gpt,15,word2vec,all,15.0,nps,rebel\_hf,16.5,21.8,18.0,7.3,6.3,6.2"
"73,chat-gpt,15,word2vec,all,15.0,nps,corenlp,13.7,15.8,13.2,2.7,3.1,2.1"
"98,chat-gpt,15,word2vec,all,15.0,nps,rebel\_ft,13.3,21.6,15.9,9.5,3.6,4.8"
"85,chat-gpt,15,word2vec,all,30.0,dbpedia\_spotlight,rebel\_ft,26.0,28.4,26.5,9.5,13.7,10.2"
"107,chat-gpt,15,word2vec,all,30.0,dbpedia\_spotlight,rebel\_hf,30.0,27.1,27.5,6.7,16.9,8.9"
"140,chat-gpt,15,word2vec,all,30.0,dbpedia\_spotlight,corenlp,30.4,30.3,29.6,4.4,15.2,5.7"
"28,chat-gpt,15,word2vec,all,30.0,nps,rebel\_hf,22.1,23.5,22.0,6.1,10.1,7.0"
"47,chat-gpt,15,word2vec,all,30.0,nps,rebel\_ft,18.4,24.2,20.2,9.5,7.4,7.4"
"50,chat-gpt,15,word2vec,all,30.0,nps,corenlp,19.1,15.5,16.5,1.6,6.4,2.4"
"5,chat-gpt,30,None,,None,dbpedia\_spotlight,rebel\_ft,35.3,23.5,27.5,3.7,22.9,6.1"
"91,chat-gpt,30,None,,None,dbpedia\_spotlight,corenlp,36.6,24.3,28.6,1.4,23.3,2.6"
"105,chat-gpt,30,None,,None,dbpedia\_spotlight,rebel\_hf,35.9,22.3,26.9,2.3,25.1,4.2"
"3,chat-gpt,30,None,,None,nps,rebel\_ft,32.4,22.2,25.8,4.4,20.3,6.9"
"69,chat-gpt,30,None,,None,nps,rebel\_hf,33.3,20.3,24.5,2.5,22.1,4.3"
"93,chat-gpt,30,None,,None,nps,corenlp,29.8,15.0,19.6,1.2,16.8,2.2"
"27,chat-gpt,30,page\_rank,all,15.0,dbpedia\_spotlight,corenlp,22.1,31.0,24.6,6.5,9.1,4.9"
"54,chat-gpt,30,page\_rank,all,15.0,dbpedia\_spotlight,rebel\_hf,26.5,28.3,26.8,7.4,13.6,9.0"
"97,chat-gpt,30,page\_rank,all,15.0,dbpedia\_spotlight,rebel\_ft,23.9,27.9,25.1,10.0,10.8,9.6"
"33,chat-gpt,30,page\_rank,all,15.0,nps,rebel\_hf,16.7,23.2,18.9,7.2,7.1,6.4"
"92,chat-gpt,30,page\_rank,all,15.0,nps,corenlp,13.0,14.2,12.5,2.5,2.3,1.8"
"112,chat-gpt,30,page\_rank,all,15.0,nps,rebel\_ft,14.6,20.6,16.7,8.2,4.7,5.3"
"39,chat-gpt,30,page\_rank,all,30.0,dbpedia\_spotlight,rebel\_ft,27.9,27.2,26.9,7.5,14.9,9.1"
"94,chat-gpt,30,page\_rank,all,30.0,dbpedia\_spotlight,rebel\_hf,30.5,26.2,27.4,5.2,18.1,7.7"
"132,chat-gpt,30,page\_rank,all,30.0,dbpedia\_spotlight,corenlp,30.2,31.0,29.4,5.9,15.5,5.7"
"55,chat-gpt,30,page\_rank,all,30.0,nps,rebel\_hf,23.0,24.0,22.8,5.2,11.6,6.3"
"79,chat-gpt,30,page\_rank,all,30.0,nps,rebel\_ft,21.7,25.0,22.6,8.3,9.9,7.8"
"104,chat-gpt,30,page\_rank,all,30.0,nps,corenlp,20.7,17.6,17.8,3.0,6.6,3.2"
"59,chat-gpt,30,word2vec,all,15.0,dbpedia\_spotlight,rebel\_ft,25.3,28.0,25.8,9.4,10.9,9.2"
"102,chat-gpt,30,word2vec,all,15.0,dbpedia\_spotlight,corenlp,29.1,34.5,30.1,7.4,14.1,5.7"
"120,chat-gpt,30,word2vec,all,15.0,dbpedia\_spotlight,rebel\_hf,27.8,28.5,27.4,7.3,14.7,9.0"
"14,chat-gpt,30,word2vec,all,15.0,nps,corenlp,15.3,14.8,13.9,3.0,3.1,2.4"
"24,chat-gpt,30,word2vec,all,15.0,nps,rebel\_hf,14.4,20.1,16.3,5.4,5.2,4.7"
"70,chat-gpt,30,word2vec,all,15.0,nps,rebel\_ft,12.0,19.1,14.4,7.8,3.4,4.3"
"23,chat-gpt,30,word2vec,all,30.0,dbpedia\_spotlight,rebel\_ft,28.2,26.6,26.8,6.6,14.5,8.5"
"99,chat-gpt,30,word2vec,all,30.0,dbpedia\_spotlight,rebel\_hf,31.6,26.7,28.3,5.0,18.7,7.5"
"114,chat-gpt,30,word2vec,all,30.0,dbpedia\_spotlight,corenlp,32.7,30.3,30.7,4.3,18.6,5.7"
"74,chat-gpt,30,word2vec,all,30.0,nps,corenlp,21.9,16.7,18.4,2.5,8.3,3.4"
"103,chat-gpt,30,word2vec,all,30.0,nps,rebel\_hf,24.2,24.3,23.6,5.1,11.2,6.6"
"127,chat-gpt,30,word2vec,all,30.0,nps,rebel\_ft,21.4,25.7,22.9,8.1,9.1,8.1"
"6,lex-rank,15,None,,None,dbpedia\_spotlight,corenlp,36.1,21.2,26.0,1.7,22.2,2.9"
"31,lex-rank,15,None,,None,dbpedia\_spotlight,rebel\_hf,35.8,19.2,24.5,2.1,24.1,3.8"
"72,lex-rank,15,None,,None,dbpedia\_spotlight,rebel\_ft,33.6,20.2,24.8,3.3,21.5,5.5"
"1,lex-rank,15,None,,None,nps,rebel\_ft,30.9,20.2,24.0,3.7,18.9,5.8"
"110,lex-rank,15,None,,None,nps,rebel\_hf,33.1,18.1,22.9,2.1,21.4,3.7"
"138,lex-rank,15,None,,None,nps,corenlp,34.1,15.4,20.9,1.0,22.5,1.9"
"61,lex-rank,15,page\_rank,all,15.0,dbpedia\_spotlight,corenlp,22.1,24.7,22.2,7.0,9.1,4.5"
"100,lex-rank,15,page\_rank,all,15.0,dbpedia\_spotlight,rebel\_hf,26.1,24.8,24.8,6.4,13.0,8.0"
"122,lex-rank,15,page\_rank,all,15.0,dbpedia\_spotlight,rebel\_ft,22.8,24.5,23.2,8.8,10.2,8.8"
"66,lex-rank,15,page\_rank,all,15.0,nps,rebel\_hf,19.7,23.9,21.1,8.3,8.1,6.9"
"68,lex-rank,15,page\_rank,all,15.0,nps,rebel\_ft,15.5,22.9,17.7,8.6,5.6,6.1"
"75,lex-rank,15,page\_rank,all,15.0,nps,corenlp,18.6,21.5,18.8,3.6,6.8,3.5"
"11,lex-rank,15,page\_rank,all,30.0,dbpedia\_spotlight,rebel\_ft,27.6,22.6,24.4,5.9,13.8,7.9"
