('condemned manâ€™s cell', 'part of', 'gaol')
('The displaying of supposed witchcraft', 'author', 'John Webster')
('Nathaniel Tomkyns', 'influenced by', 'Sir Robert Phelips')
('Arthur', 'spouse', 'Doughty')
('sceptical', 'facet of', 'witchcraft')
('SPORT AND GAME IN THE LATE LANCASHIRE WITCHES', 'author', '17As')
('Lawrence', 'spouse', 'Arthur')
('witch trials', 'location', 'Essex')
('Bishop Bridgeman', 'spouse', 'Mary Spencer')
('fair shilling', 'subclass of', 'silver')
('Gothic', 'used by', 'Anglican')
('Edmund Robinson', 'participant in', 'Lancashire witches')
('Lancashire', 'contains administrative territorial entity', 'Pendle Hill')
('Margaret Johnson', 'place of death', 'Padiham')
('SPORT AND GAME IN THE LATE LANCASHIRE WITCHES 17As', 'publication date', '17As')
('Doughty', 'spouse', 'Arthur')
('Shakestone', 'present in work', 'Bantam and Shakestone')
('The Wonderful Discovery of Elizabeth Sawyer, a Witch', 'author', 'Henry Goodcole')
('Witches in the dock', 'main subject', 'Pendle Hill')
('The Discovery of Witchcraft', 'publication date', '1584')
('Demdike clan', 'headquarters location', 'Malkin Tower')
('Thomas Covell', 'position held', 'Governor')
('Good Friday', 'part of', 'Sabbath')
('Lancashire', 'subclass of', 'bagpipe')
('Alison Findlay', 'notable work', 'The Late Lancashire Witches')
('Ship Tavern', 'location', 'Greenwich')
('witches', 'field of this occupation', 'witchcraft')
('Lancashire', 'shares border with', 'London')
('Witches in the dock', 'published in', 'BBC History Magazine')
('Scotland', 'diplomatic relation', 'Denmark')
('Lancashire', 'inception', '1612')
('Sir Thomas Knyvet', 'participant in', 'Gunpowder Plot')
('Parnell', 'sibling', 'Lawrence')
('1634 witchcraft trials', 'start time', '1634')
('Reginald Scot', 'notable work', 'The Discovery of Witchcraft')
('Bantam', 'spouse', 'Shakestone')
('Lancashire', 'different from', 'London')
('prosecutions and convictions in Lancaster in 1612', 'point in time', '1612')
('Lancashire witches', 'instance of', 'witch trials')
('SPORT AND GAME IN THE LATE LANCASHIRE WITCHES 17As', 'instance of', 'playhouse')
('witchcraft', 'different from', 'magic')
('trials of the Lancashire witches', 'instance of', 'witch trial')
('snaffle', 'subclass of', 'bridle')
('sirloin', 'subclass of', 'beef')
('Hoarestones', 'location', 'Forest of Pendle')
('Isobel Robey', 'place of birth', 'Windle')
('sceptical', 'subclass of', 'witchcraft')
('witchcraft', 'practiced by', 'witches')
('witches in Windsor', 'uses', 'Image magic')
('Hospitality in The Three Ladies of London', 'publication date', '1583')
('Lancaster trials', 'instance of', 'trial')
('Robert Nutter', 'spouse', 'Elizabeth Nutter')
('Lawrence', 'sibling', 'Parnell')
('Lancashire witches', 'participant', 'Edmund Robinson')
('Lancaster Assizes', 'located in the administrative territorial entity', 'Countie of Lancaster')
('The Late Lancashire Witchesâ €\x9d', 'author', 'Richard Brome')
