temples, country, ancient Egypt
Great Library of Alexandria, founded by, Ptolemy
Upper Egypt, followed by, Lower Egypt
Alexander's conquest, participant, Persia
pyramids, country, ancient Egypt
art, part of, culture of ancient Egypt
Nile River, country, ancient Egypt
ancient Egypt, located in or next to body of water, Nile River
architecture, country, ancient Egypt
Valley of the Kings, time period, New Kingdom
art, country, ancient Egypt
ancient Egypt, located in or next to body of water, Mediterranean
Old, part of, Ancient Egypt
New Kingdoms, part of, Ancient Egypt
Third Intermediate Period in Egypt, head of state, Ramesses XI
Upper Egypt, replaced by, Lower Egypt
Egyptology, studies, ancient Egypt
Lower Egypt, replaces, Upper Egypt
Great Library of Alexandria, country, Egypt
god-king, time period, Pharaonic Age
ancient Egypt, studied by, Egyptology
Akhenaton, time period, New Kingdom
Great Library of Alexandria, creator, Ptolemy
Zoser, position held, Pharaoh
Alexander, country of citizenship, Persian Empire
Third Intermediate Period in Egypt, country, Egypt
Third Intermediate Period, country, Egypt
First, followed by, Second Dynasties
Second Dynasties, follows, First
Western culture, has part, Christianity
Predynastic Period, followed by, First
ancient Egypt, named after, Nile River
Ancient Egypt, located in or next to body of water, Mediterranean
Zoser, time period, Old Kingdom
Akhenaton, position held, Pharaoh
Middle, followed by, New Kingdoms
Middle, part of, Ancient Egypt
Late Period, followed by, Alexander's conquest
