subject;predicate;object
Alice Nutter;accused of;murder by witchcraft
Alice Nutter;was executed in;1612
statue;will be placed in;Roughlee
statue;will sit on;Blacko Bar Road
statue;will be completed by;April 2012
Alice Nutter;was accused by;Pendle witches
Alice Nutter;was accused during;Pendle Trials
Alice Nutter;was accused due to;wealth
Alice Nutter;was accused due to;silence during trial
Alice Nutter;was accused of;bewitching a man to death
Pendle witches;accused of;witchcraft
Pendle witches;were;group of twelve people
Pendle witches;were;accused of witchcraft
Pendle witches;were;17th century
one;was found;not guilty
trials;were;well-documented
trials;became;legend
background;involved;rival families
background;involved;society fascinated by witchcraft
King James I;influenced;fear and prosecution of witches
trials in Lancashire;reflected;time of unrest and unease
trials in Lancashire;led to;sentence of Pendle witches
accusations;stemmed from;feud between families
accusations;escalated due to;general fear of witchcraft
trials;resulted in;convictions
trials;resulted in;executions
Pendle witches;executed in;1612
participants;participated in;Pendle Witch Walk 2012
Pendle witches;started on;18th August 1612
Pendle witches;resulted in;9 convictions
Pendle witches;resulted in;executions
Pendle Witch trials;took place in;1612
accused individuals;charged with;murder by witchcraft
accused individuals;came from;two families
allegations;stemming from;competition between families
English witch trial executions;attributed to;Pendle Witch trials
trials;documented in;"The Wonderfull Discoverie of Witches in the Countie of Lancaster"
London;has;haunted dungeons
Wales;has;ghost walks
Scotland;has;ghost walks
haunted dungeons;located in;London
ghost walks;located in;Wales
ghost walks;located in;Scotland
haunted castles;have;chilling histories
prisons;have;chilling histories
hills;have;chilling histories
curses;associated with;haunted castles
witch trials;associated with;chilling histories
ghostly apparitions;associated with;hills
Dracula;associated with;Whitby
Liverpool;known for;ghostly tales
York;known for;ghostly tales
Tudor life;reveals;secrets
Stratford-upon-Avon;associated with;Tudor life
Sheffield;known for;darkest stories
ghost tour;involves;Sheffield's darkest stories
haunted locations;spread across;Britain
"The Late Lancashire Witches";is described as;comedy filled with ribaldry, magic, and social commentary
"The Late Lancashire Witches";focuses on;witchcraft, transformations, and gender dynamics
"The Late Lancashire Witches";subverts;traditional gender roles
"The Late Lancashire Witches";mocks;male authority
"The Late Lancashire Witches";challenges;societal norms
witches;have interactions with;men
play;explores;themes of hospitality, social dynamics, and power dynamics between men and women
Pendle Hill hangings;occurred in;1612
last witchcraft conviction in Hertfordshire;happened in;17th century
Eleanor Cobham;was accused of;witchcraft
Gwen Ellis;was the first witch executed in;Wales
witch trials;involved;figures like Eleanor Cobham
witch trials;involved;figures like Gwen Ellis
witch trials;were not;a result of mass hysteria
witch trials;were seen as;a genuine problem at the time
witch persecution in Britain;included;legal context
witch persecution in Britain;included;societal beliefs
witch persecution in Britain;included;involvement of prominent figures like King James VI
Joe Hesketh;delves into;history of the Pendle Witch Trials
Joe Hesketh;drawing parallels between;his childhood in Pendle and the accused witches
Joe Hesketh;aims to shed light on;injustice faced by the accused witches
Joe Hesketh;immersing himself in;the story through research
Joe Hesketh;immersing himself in;walking the path of the Trials
Joe Hesketh;seeks to truly understand and convey;the experiences of those involved
Joe Hesketh;challenges;societal norms
Joe Hesketh;encourages;a deeper appreciation of the Pendle Witches' story
Joe Hesketh;highlighting;the enduring impact of these events on modern society
Pendle Witch trials;began on;18th August 1612
Pendle Witch trials;involved;nine Lancashire women
Pendle Witch trials;involved;two men
Pendle Witch trials;accused of;murders
twelve charged;included;one acquitted
twelve charged;included;one who died in prison
twelve charged;included;ten found guilty and executed
defendants;identified as;witches or healers practicing 'magic' for payment
defendants;practiced;magic for payment
defendants;identified as;witches
Pendle witches;represented;2% of all British witches tried during the period of witch trials
Pendle witches;represented;2% of British witches tried
Thomas Potts;published;account
trials;are documented in;British history
Alison Device;encountered;peddler
Alison Device;led to;accusations and arrests
Pendle Witches;began in;Pendle Forest
Pendle Witches;documented in;"The Wonderfull Discoverie of Witches in the Countie of Lancaster" by Thomas Potts
Pendle Witches;highlighted;political and religious tensions of the time
accused;convicted and executed;resulted in
accused;committed;crimes such as laming, causing madness, and practicing witchcraft
accused;including;two men and an elderly woman
accused;lost lives to;a crime that no longer exists
Thomas Potts;documented;events
Thomas Potts;shedding light on;a dark chapter in history
Pendle Witch Trials;took place in;England
Pendle Witch Trials;were part of;Lancashire Witch Trials
accused;were from;Pendle Hill area
accused;were involved in;witchcraft
trials;resulted in;execution of ten individuals
trials;were notable for;involvement of a young witness
trials;saw more individuals accused in;1633-1634
Margaret Johnson;was accused in;1633-1634
Margaret Johnson;confessed but was later found;innocent
trials;inspired;a play
Pendle Hill;remains associated with;witchcraft
Pendle Hill;attracts;tourists
Pendle Witch Trials;celebrated in;Lancashire, England
Halloween celebrations;held in;Lancashire, England
haunted spots;part of;Halloween celebrations
big party;organized on;Pendle Hill
witches;participating in;big party
Pendle witches;charged with;murder in 1612
voices of the Pendle witches;brought to life in;Lancaster University's upcoming Public Lectures
lecture;will explore;testimonies recorded by Thomas Potts
lectures;will cover;topics such as Lancaster's scientific contributions, the NHS, and nuclear new build
lectures;will be held at;Lancaster University Campus or in Lancaster City Centre
event;will be held at;Lancaster University Campus or in Lancaster City Centre
more information;visit;www.lancaster.ac.uk/50 or call 01524 592809
