subject;predicate;object
Norman family of Vieuxpont;took over;Brougham Castle
Hugh de Morville;founded;Brougham Castle
Brougham Castle;passed through;various owners
Brougham Castle;fell into disrepair;13th and 14th centuries
Scottish raids;caused;disrepair
Lady Anne Clifford;restored;Brougham Castle
Lady Anne Clifford;made;Brougham Castle her home
Lady Anne Clifford;death;1676
stone;taken;for other constructions
Brougham Castle;remains;impressive and well-preserved ruin
Brougham Castle;overlooks;River Eamont
